  0.16242E+02  0.62105E+01  0.48615E+00  0.13570E+01 -0.12487E+01  0.55582E+01
  0.21749E+02  0.20837E+00 -0.34282E+00 -0.54273E+01 -0.27681E+01  0.98024E+01
  0.11332E+02  0.46299E+01 -0.11730E+00  0.53347E+01 -0.43368E+01  0.66759E+01
  0.28803E+02  0.43652E+01  0.43966E+00 -0.10579E+02  0.28771E+01  0.68631E+01
  0.14663E+02  0.29799E+01 -0.36576E+00  0.18227E+01 -0.39864E+01  0.78426E+01
  0.17625E+02  0.46878E+01  0.26913E-01 -0.35151E+00 -0.16401E+01  0.66350E+01
  0.34072E+01  0.35700E+01 -0.45811E-01  0.12201E+02 -0.83654E+01  0.74254E+01
  0.15139E+02  0.47578E+01 -0.19303E+00  0.19226E+01 -0.26459E+01  0.65855E+01
  0.25139E+02  0.17056E+01  0.39078E+00 -0.80524E+01 -0.37580E+00  0.87437E+01
  0.26004E+02  0.35409E+01  0.36915E+00 -0.82882E+01  0.11660E+01  0.74460E+01
  0.24156E+02  0.20973E+01 -0.14671E+00 -0.70444E+01 -0.54025E+00  0.84667E+01
  0.11426E+02  0.42770E+01 -0.44191E+00  0.51442E+01 -0.45233E+01  0.69255E+01
  0.35183E+01  0.43677E+01 -0.32386E-02  0.12338E+02 -0.78072E+01  0.68613E+01
  0.42893E+01  0.53178E+01  0.36701E+00  0.11923E+02 -0.68725E+01  0.61895E+01
  0.11906E+02  0.19892E+01 -0.13886E+00  0.40259E+01 -0.57868E+01  0.85432E+01
  0.14842E+02  0.29740E+01 -0.11993E+00  0.16591E+01 -0.39148E+01  0.78468E+01
  0.14180E+02  0.44792E+01 -0.39385E+00  0.27092E+01 -0.32301E+01  0.67825E+01
  0.46417E+01  0.50035E+01  0.13050E+00  0.11510E+02 -0.69249E+01  0.64117E+01
  0.41524E+01  0.64222E+01  0.46592E+00  0.12378E+02 -0.62225E+01  0.54085E+01
  0.19203E+02  0.43842E+01  0.36107E+00 -0.18719E+01 -0.11680E+01  0.68497E+01
