 Crustal model (free format) - Shuo Ma
 number of layers:
         400
 Parameters of the layers
 depth of layer top(km)   Vp(km/s)    Vs(km/s)    Rho(g/cm**3)    Qp     Qs
  0.12600E+01  0.44116E+01  0.26259E+01  0.27102E+01  0.10000E+04  0.10000E+04
  0.12800E+01  0.44253E+01  0.26341E+01  0.27111E+01  0.10000E+04  0.10000E+04
  0.13000E+01  0.44389E+01  0.26422E+01  0.27119E+01  0.10000E+04  0.10000E+04
  0.13200E+01  0.44523E+01  0.26502E+01  0.27127E+01  0.10000E+04  0.10000E+04
  0.13400E+01  0.44656E+01  0.26581E+01  0.27135E+01  0.10000E+04  0.10000E+04
  0.13600E+01  0.44787E+01  0.26659E+01  0.27143E+01  0.10000E+04  0.10000E+04
  0.13800E+01  0.44917E+01  0.26736E+01  0.27151E+01  0.10000E+04  0.10000E+04
  0.14000E+01  0.45045E+01  0.26813E+01  0.27159E+01  0.10000E+04  0.10000E+04
  0.14200E+01  0.45172E+01  0.26888E+01  0.27167E+01  0.10000E+04  0.10000E+04
  0.14400E+01  0.45297E+01  0.26963E+01  0.27174E+01  0.10000E+04  0.10000E+04
  0.14600E+01  0.45421E+01  0.27036E+01  0.27182E+01  0.10000E+04  0.10000E+04
  0.14800E+01  0.45543E+01  0.27109E+01  0.27189E+01  0.10000E+04  0.10000E+04
  0.15000E+01  0.45665E+01  0.27181E+01  0.27197E+01  0.10000E+04  0.10000E+04
  0.15200E+01  0.45785E+01  0.27253E+01  0.27204E+01  0.10000E+04  0.10000E+04
  0.15400E+01  0.45903E+01  0.27323E+01  0.27211E+01  0.10000E+04  0.10000E+04
  0.15600E+01  0.46021E+01  0.27393E+01  0.27219E+01  0.10000E+04  0.10000E+04
  0.15800E+01  0.46137E+01  0.27462E+01  0.27226E+01  0.10000E+04  0.10000E+04
  0.16000E+01  0.46252E+01  0.27531E+01  0.27233E+01  0.10000E+04  0.10000E+04
  0.16200E+01  0.46366E+01  0.27599E+01  0.27240E+01  0.10000E+04  0.10000E+04
  0.16400E+01  0.46479E+01  0.27666E+01  0.27247E+01  0.10000E+04  0.10000E+04
  0.16600E+01  0.46591E+01  0.27733E+01  0.27253E+01  0.10000E+04  0.10000E+04
  0.16800E+01  0.46701E+01  0.27798E+01  0.27260E+01  0.10000E+04  0.10000E+04
  0.17000E+01  0.46811E+01  0.27864E+01  0.27267E+01  0.10000E+04  0.10000E+04
  0.17200E+01  0.46920E+01  0.27928E+01  0.27274E+01  0.10000E+04  0.10000E+04
  0.17400E+01  0.47027E+01  0.27992E+01  0.27280E+01  0.10000E+04  0.10000E+04
  0.17600E+01  0.47134E+01  0.28056E+01  0.27287E+01  0.10000E+04  0.10000E+04
  0.17800E+01  0.47240E+01  0.28119E+01  0.27293E+01  0.10000E+04  0.10000E+04
  0.18000E+01  0.47344E+01  0.28181E+01  0.27299E+01  0.10000E+04  0.10000E+04
  0.18200E+01  0.47448E+01  0.28243E+01  0.27306E+01  0.10000E+04  0.10000E+04
