 Crustal model (free format) - Shuo Ma
 number of layers:
         400
 Parameters of the layers
 depth of layer top(km)   Vp(km/s)    Vs(km/s)    Rho(g/cm**3)    Qp     Qs
  0.55600E+01  0.56998E+01  0.33927E+01  0.27890E+01  0.10000E+04  0.10000E+04
  0.55800E+01  0.57015E+01  0.33938E+01  0.27891E+01  0.10000E+04  0.10000E+04
  0.56000E+01  0.57033E+01  0.33948E+01  0.27892E+01  0.10000E+04  0.10000E+04
  0.56200E+01  0.57050E+01  0.33959E+01  0.27893E+01  0.10000E+04  0.10000E+04
  0.56400E+01  0.57068E+01  0.33969E+01  0.27894E+01  0.10000E+04  0.10000E+04
  0.56600E+01  0.57085E+01  0.33979E+01  0.27895E+01  0.10000E+04  0.10000E+04
  0.56800E+01  0.57102E+01  0.33990E+01  0.27896E+01  0.10000E+04  0.10000E+04
  0.57000E+01  0.57120E+01  0.34000E+01  0.27897E+01  0.10000E+04  0.10000E+04
  0.57200E+01  0.57137E+01  0.34010E+01  0.27898E+01  0.10000E+04  0.10000E+04
  0.57400E+01  0.57154E+01  0.34020E+01  0.27899E+01  0.10000E+04  0.10000E+04
  0.57600E+01  0.57171E+01  0.34030E+01  0.27900E+01  0.10000E+04  0.10000E+04
  0.57800E+01  0.57188E+01  0.34040E+01  0.27901E+01  0.10000E+04  0.10000E+04
  0.58000E+01  0.57205E+01  0.34051E+01  0.27902E+01  0.10000E+04  0.10000E+04
  0.58200E+01  0.57222E+01  0.34061E+01  0.27903E+01  0.10000E+04  0.10000E+04
  0.58400E+01  0.57239E+01  0.34071E+01  0.27904E+01  0.10000E+04  0.10000E+04
  0.58600E+01  0.57256E+01  0.34081E+01  0.27905E+01  0.10000E+04  0.10000E+04
  0.58800E+01  0.57272E+01  0.34091E+01  0.27906E+01  0.10000E+04  0.10000E+04
  0.59000E+01  0.57289E+01  0.34101E+01  0.27907E+01  0.10000E+04  0.10000E+04
  0.59200E+01  0.57306E+01  0.34111E+01  0.27908E+01  0.10000E+04  0.10000E+04
  0.59400E+01  0.57322E+01  0.34120E+01  0.27910E+01  0.10000E+04  0.10000E+04
  0.59600E+01  0.57339E+01  0.34130E+01  0.27911E+01  0.10000E+04  0.10000E+04
  0.59800E+01  0.57355E+01  0.34140E+01  0.27912E+01  0.10000E+04  0.10000E+04
  0.60000E+01  0.57372E+01  0.34150E+01  0.27913E+01  0.10000E+04  0.10000E+04
  0.60200E+01  0.57388E+01  0.34160E+01  0.27914E+01  0.10000E+04  0.10000E+04
  0.60400E+01  0.57405E+01  0.34169E+01  0.27915E+01  0.10000E+04  0.10000E+04
  0.60600E+01  0.57421E+01  0.34179E+01  0.27916E+01  0.10000E+04  0.10000E+04
  0.60800E+01  0.57437E+01  0.34189E+01  0.27917E+01  0.10000E+04  0.10000E+04
  0.61000E+01  0.57453E+01  0.34198E+01  0.27918E+01  0.10000E+04  0.10000E+04
  0.61200E+01  0.57469E+01  0.34208E+01  0.27919E+01  0.10000E+04  0.10000E+04
  0.61400E+01  0.57486E+01  0.34218E+01  0.27919E+01  0.10000E+04  0.10000E+04
  0.61600E+01  0.57502E+01  0.34227E+01  0.27920E+01  0.10000E+04  0.10000E+04
  0.61800E+01  0.57518E+01  0.34237E+01  0.27921E+01  0.10000E+04  0.10000E+04
  0.62000E+01  0.57534E+01  0.34246E+01  0.27922E+01  0.10000E+04  0.10000E+04
  0.62200E+01  0.57550E+01  0.34256E+01  0.27923E+01  0.10000E+04  0.10000E+04
  0.62400E+01  0.57565E+01  0.34265E+01  0.27924E+01  0.10000E+04  0.10000E+04
  0.62600E+01  0.57581E+01  0.34275E+01  0.27925E+01  0.10000E+04  0.10000E+04
  0.62800E+01  0.57597E+01  0.34284E+01  0.27926E+01  0.10000E+04  0.10000E+04
  0.63000E+01  0.57613E+01  0.34293E+01  0.27927E+01  0.10000E+04  0.10000E+04
  0.63200E+01  0.57628E+01  0.34303E+01  0.27928E+01  0.10000E+04  0.10000E+04
  0.63400E+01  0.57644E+01  0.34312E+01  0.27929E+01  0.10000E+04  0.10000E+04
  0.63600E+01  0.57660E+01  0.34321E+01  0.27930E+01  0.10000E+04  0.10000E+04
  0.63800E+01  0.57675E+01  0.34330E+01  0.27931E+01  0.10000E+04  0.10000E+04
  0.64000E+01  0.57691E+01  0.34340E+01  0.27932E+01  0.10000E+04  0.10000E+04
  0.64200E+01  0.57706E+01  0.34349E+01  0.27933E+01  0.10000E+04  0.10000E+04
  0.64400E+01  0.57722E+01  0.34358E+01  0.27934E+01  0.10000E+04  0.10000E+04
  0.64600E+01  0.57737E+01  0.34367E+01  0.27935E+01  0.10000E+04  0.10000E+04
  0.64800E+01  0.57752E+01  0.34376E+01  0.27936E+01  0.10000E+04  0.10000E+04
  0.65000E+01  0.57768E+01  0.34385E+01  0.27937E+01  0.10000E+04  0.10000E+04
  0.65200E+01  0.57783E+01  0.34395E+01  0.27938E+01  0.10000E+04  0.10000E+04
  0.65400E+01  0.57798E+01  0.34404E+01  0.27939E+01  0.10000E+04  0.10000E+04
  0.65600E+01  0.57813E+01  0.34413E+01  0.27940E+01  0.10000E+04  0.10000E+04
  0.65800E+01  0.57828E+01  0.34422E+01  0.27940E+01  0.10000E+04  0.10000E+04
  0.66000E+01  0.57843E+01  0.34431E+01  0.27941E+01  0.10000E+04  0.10000E+04
  0.66200E+01  0.57858E+01  0.34440E+01  0.27942E+01  0.10000E+04  0.10000E+04
  0.66400E+01  0.57873E+01  0.34449E+01  0.27943E+01  0.10000E+04  0.10000E+04
  0.66600E+01  0.57888E+01  0.34457E+01  0.27944E+01  0.10000E+04  0.10000E+04
  0.66800E+01  0.57903E+01  0.34466E+01  0.27945E+01  0.10000E+04  0.10000E+04
  0.67000E+01  0.57918E+01  0.34475E+01  0.27946E+01  0.10000E+04  0.10000E+04
  0.67200E+01  0.57933E+01  0.34484E+01  0.27947E+01  0.10000E+04  0.10000E+04
  0.67400E+01  0.57948E+01  0.34493E+01  0.27948E+01  0.10000E+04  0.10000E+04
  0.67600E+01  0.57963E+01  0.34502E+01  0.27949E+01  0.10000E+04  0.10000E+04
  0.67800E+01  0.57977E+01  0.34510E+01  0.27950E+01  0.10000E+04  0.10000E+04
  0.68000E+01  0.57992E+01  0.34519E+01  0.27950E+01  0.10000E+04  0.10000E+04
  0.68200E+01  0.58007E+01  0.34528E+01  0.27951E+01  0.10000E+04  0.10000E+04
  0.68400E+01  0.58021E+01  0.34536E+01  0.27952E+01  0.10000E+04  0.10000E+04
  0.68600E+01  0.58036E+01  0.34545E+01  0.27953E+01  0.10000E+04  0.10000E+04
  0.68800E+01  0.58050E+01  0.34554E+01  0.27954E+01  0.10000E+04  0.10000E+04
  0.69000E+01  0.58065E+01  0.34562E+01  0.27955E+01  0.10000E+04  0.10000E+04
  0.69200E+01  0.58079E+01  0.34571E+01  0.27956E+01  0.10000E+04  0.10000E+04
  0.69400E+01  0.58094E+01  0.34580E+01  0.27957E+01  0.10000E+04  0.10000E+04
  0.69600E+01  0.58108E+01  0.34588E+01  0.27958E+01  0.10000E+04  0.10000E+04
  0.69800E+01  0.58122E+01  0.34597E+01  0.27958E+01  0.10000E+04  0.10000E+04
  0.70000E+01  0.58137E+01  0.34605E+01  0.27959E+01  0.10000E+04  0.10000E+04
  0.70200E+01  0.58151E+01  0.34614E+01  0.27960E+01  0.10000E+04  0.10000E+04
  0.70400E+01  0.58165E+01  0.34622E+01  0.27961E+01  0.10000E+04  0.10000E+04
  0.70600E+01  0.58179E+01  0.34630E+01  0.27962E+01  0.10000E+04  0.10000E+04
  0.70800E+01  0.58193E+01  0.34639E+01  0.27963E+01  0.10000E+04  0.10000E+04
  0.71000E+01  0.58207E+01  0.34647E+01  0.27964E+01  0.10000E+04  0.10000E+04
  0.71200E+01  0.58222E+01  0.34656E+01  0.27964E+01  0.10000E+04  0.10000E+04
  0.71400E+01  0.58236E+01  0.34664E+01  0.27965E+01  0.10000E+04  0.10000E+04
  0.71600E+01  0.58250E+01  0.34672E+01  0.27966E+01  0.10000E+04  0.10000E+04
  0.71800E+01  0.58264E+01  0.34681E+01  0.27967E+01  0.10000E+04  0.10000E+04
  0.72000E+01  0.58277E+01  0.34689E+01  0.27968E+01  0.10000E+04  0.10000E+04
  0.72200E+01  0.58291E+01  0.34697E+01  0.27969E+01  0.10000E+04  0.10000E+04
  0.72400E+01  0.58305E+01  0.34705E+01  0.27970E+01  0.10000E+04  0.10000E+04
  0.72600E+01  0.58319E+01  0.34714E+01  0.27970E+01  0.10000E+04  0.10000E+04
  0.72800E+01  0.58333E+01  0.34722E+01  0.27971E+01  0.10000E+04  0.10000E+04
  0.73000E+01  0.58347E+01  0.34730E+01  0.27972E+01  0.10000E+04  0.10000E+04
  0.73200E+01  0.58360E+01  0.34738E+01  0.27973E+01  0.10000E+04  0.10000E+04
  0.73400E+01  0.58374E+01  0.34746E+01  0.27974E+01  0.10000E+04  0.10000E+04
  0.73600E+01  0.58388E+01  0.34755E+01  0.27975E+01  0.10000E+04  0.10000E+04
  0.73800E+01  0.58401E+01  0.34763E+01  0.27975E+01  0.10000E+04  0.10000E+04
  0.74000E+01  0.58415E+01  0.34771E+01  0.27976E+01  0.10000E+04  0.10000E+04
  0.74200E+01  0.58428E+01  0.34779E+01  0.27977E+01  0.10000E+04  0.10000E+04
  0.74400E+01  0.58442E+01  0.34787E+01  0.27978E+01  0.10000E+04  0.10000E+04
  0.74600E+01  0.58455E+01  0.34795E+01  0.27979E+01  0.10000E+04  0.10000E+04
  0.74800E+01  0.58469E+01  0.34803E+01  0.27980E+01  0.10000E+04  0.10000E+04
  0.75000E+01  0.58482E+01  0.34811E+01  0.27980E+01  0.10000E+04  0.10000E+04
  0.75200E+01  0.58496E+01  0.34819E+01  0.27981E+01  0.10000E+04  0.10000E+04
  0.75400E+01  0.58509E+01  0.34827E+01  0.27982E+01  0.10000E+04  0.10000E+04
  0.75600E+01  0.58522E+01  0.34835E+01  0.27983E+01  0.10000E+04  0.10000E+04
  0.75800E+01  0.58536E+01  0.34843E+01  0.27984E+01  0.10000E+04  0.10000E+04
  0.76000E+01  0.58549E+01  0.34850E+01  0.27984E+01  0.10000E+04  0.10000E+04
  0.76200E+01  0.58562E+01  0.34858E+01  0.27985E+01  0.10000E+04  0.10000E+04
  0.76400E+01  0.58575E+01  0.34866E+01  0.27986E+01  0.10000E+04  0.10000E+04
  0.76600E+01  0.58588E+01  0.34874E+01  0.27987E+01  0.10000E+04  0.10000E+04
  0.76800E+01  0.58601E+01  0.34882E+01  0.27988E+01  0.10000E+04  0.10000E+04
  0.77000E+01  0.58615E+01  0.34890E+01  0.27989E+01  0.10000E+04  0.10000E+04
  0.77200E+01  0.58628E+01  0.34897E+01  0.27989E+01  0.10000E+04  0.10000E+04
  0.77400E+01  0.58641E+01  0.34905E+01  0.27990E+01  0.10000E+04  0.10000E+04
  0.77600E+01  0.58654E+01  0.34913E+01  0.27991E+01  0.10000E+04  0.10000E+04
  0.77800E+01  0.58667E+01  0.34921E+01  0.27992E+01  0.10000E+04  0.10000E+04
  0.78000E+01  0.58680E+01  0.34928E+01  0.27992E+01  0.10000E+04  0.10000E+04
  0.78200E+01  0.58693E+01  0.34936E+01  0.27993E+01  0.10000E+04  0.10000E+04
  0.78400E+01  0.58705E+01  0.34944E+01  0.27994E+01  0.10000E+04  0.10000E+04
  0.78600E+01  0.58718E+01  0.34951E+01  0.27995E+01  0.10000E+04  0.10000E+04
  0.78800E+01  0.58731E+01  0.34959E+01  0.27996E+01  0.10000E+04  0.10000E+04
  0.79000E+01  0.58744E+01  0.34967E+01  0.27996E+01  0.10000E+04  0.10000E+04
  0.79200E+01  0.58757E+01  0.34974E+01  0.27997E+01  0.10000E+04  0.10000E+04
  0.79400E+01  0.58769E+01  0.34982E+01  0.27998E+01  0.10000E+04  0.10000E+04
  0.79600E+01  0.58782E+01  0.34989E+01  0.27999E+01  0.10000E+04  0.10000E+04
  0.79800E+01  0.58795E+01  0.34997E+01  0.28000E+01  0.10000E+04  0.10000E+04
