0.50 1.250 -0.00338 0.0060 1.008 0.01114 0.247 -0.053 2.629 -0.554
0.80 1.386 -0.00242 0.0022 1.088 0.00944 0.232 -0.164 2.480 -0.540
1.00 1.479 -0.00220 0.0020 1.115 0.01005 0.211 -0.239 2.233 -0.509
1.25 1.551 -0.00207 0.0020 1.083 0.01003 0.251 -0.256 2.029 -0.469
1.50 1.621 -0.00224 0.0020 1.091 0.00928 0.248 -0.306 1.589 -0.379
2.00 1.694 -0.00201 0.0025 1.055 0.00833 0.263 -0.321 0.966 -0.248
2.50 1.748 -0.00187 0.0028 1.052 0.00776 0.262 -0.337 0.789 -0.221
3.00 1.759 -0.00147 0.0032 1.025 0.00644 0.307 -0.331 1.037 -0.263
4.00 1.826 -0.00195 0.0040 1.044 0.00590 0.353 -0.390 0.561 -0.169
5.00 1.825 -0.00237 0.0050 1.065 0.00510 0.248 -0.498 0.225 -0.120
